id,title,slug,category,source_page,source,image_filename,image_path
1,TOSTAS DE CALABACÍN Y PAVO AL PESTO,tostas-de-calabacin-y-pavo-al-pesto,Entrantes,10,missing,,
2,TOSTAS DE QUESO FRESCO Y TAPENADE,tostas-de-queso-fresco-y-tapenade,Entrantes,11,missing,,
3,"TOSTAS DE PAVO, AGUACATE Y QUESO DE CABRA",tostas-de-pavo-aguacate-y-queso-de-cabra,Entrantes,12,pdf,0003-tostas-de-pavo-aguacate-y-queso-de-cabra.webp,/img/recetas/0003-tostas-de-pavo-aguacate-y-queso-de-cabra.webp
4,BLOODY MARY CON BERBERECHOS,bloody-mary-con-berberechos,Entrantes,14,missing,,
5,"HUMMUS CON ZANAHORIA, PEPINO Y APIO",hummus-con-zanahoria-pepino-y-apio,Entrantes,15,missing,,
6,CROQUETAS DE AJOS Y GAMBAS EN BRICK,croquetas-de-ajos-y-gambas-en-brick,Entrantes,16,pdf,0006-croquetas-de-ajos-y-gambas-en-brick.webp,/img/recetas/0006-croquetas-de-ajos-y-gambas-en-brick.webp
7,BAGUETTES RELLENAS DE ENSALADILLA,baguettes-rellenas-de-ensaladilla,Entrantes,17,missing,,
8,BROCHETAS DE ANCHOAS Y GUINDILLAS,brochetas-de-anchoas-y-guindillas,Entrantes,19,missing,,
9,BOCADOS DE QUESO ROQUEFORT Y NUECES,bocados-de-queso-roquefort-y-nueces,Entrantes,20,pdf,0009-bocados-de-queso-roquefort-y-nueces.webp,/img/recetas/0009-bocados-de-queso-roquefort-y-nueces.webp
10,SAQUITOS DE VERDURAS CON SALSA DE LECHE,saquitos-de-verduras-con-salsa-de-leche,Entrantes,23,missing,,
11,PUERROS CON SALSA ROMESCO,puerros-con-salsa-romesco,Entrantes,23,missing,,
12,BROCHETAS DE QUESO FRESCO Y KIWI,brochetas-de-queso-fresco-y-kiwi,Entrantes,24,pdf,0012-brochetas-de-queso-fresco-y-kiwi.webp,/img/recetas/0012-brochetas-de-queso-fresco-y-kiwi.webp
13,PUERROS EN VINAGRETA,puerros-en-vinagreta,Entrantes,26,missing,,
14,SETAS GRATINADAS,setas-gratinadas,Entrantes,27,missing,,
15,TOSTAS DE AGUACATE,tostas-de-aguacate,Entrantes,28,pdf,0015-tostas-de-aguacate.webp,/img/recetas/0015-tostas-de-aguacate.webp
16,ALBÓNDIGAS DE PATATA,albondigas-de-patata,Entrantes,29,missing,,
17,CHAMPIÑONES A LA PLANCHA CON GAMBAS,champinones-a-la-plancha-con-gambas,Entrantes,30,missing,,
18,CROQUETAS DE BONITO,croquetas-de-bonito,Entrantes,31,pdf,0018-croquetas-de-bonito.webp,/img/recetas/0018-croquetas-de-bonito.webp
19,AGUACATES RELLENOS DE SALMÓN,aguacates-rellenos-de-salmon,Entrantes,33,missing,,
20,APIO CON QUESO,apio-con-queso,Entrantes,34,missing,,
21,RULOS DE PAVO Y PIÑA CON PISTO,rulos-de-pavo-y-pina-con-pisto,Entrantes,35,pdf,0021-rulos-de-pavo-y-pina-con-pisto.webp,/img/recetas/0021-rulos-de-pavo-y-pina-con-pisto.webp
22,MEJILLONES EN SALSA DE TOMATE PICANTE,mejillones-en-salsa-de-tomate-picante,Entrantes,37,missing,,
23,FRITOS VARIADOS,fritos-variados,Entrantes,38,missing,,
24,HUMMUS DE BERENJENA CON PAN DE SEMILLAS,hummus-de-berenjena-con-pan-de-semillas,Entrantes,39,pdf,0024-hummus-de-berenjena-con-pan-de-semillas.webp,/img/recetas/0024-hummus-de-berenjena-con-pan-de-semillas.webp
25,CESTAS DE PRIMAVERA,cestas-de-primavera,Entrantes,41,missing,,
26,CROQUETAS DE JAMÓN Y POLLO,croquetas-de-jamon-y-pollo,Entrantes,42,missing,,
27,SAQUITOS DE MORCILLA Y PERA CON SALSA DE COL,saquitos-de-morcilla-y-pera-con-salsa-de-col,Entrantes,43,pdf,0027-saquitos-de-morcilla-y-pera-con-salsa-de-col.webp,/img/recetas/0027-saquitos-de-morcilla-y-pera-con-salsa-de-col.webp
28,CHAMPIÑONES EN SALSA DE VINO,champinones-en-salsa-de-vino,Entrantes,45,missing,,
29,PIMIENTO ADOBADO CON CHAMPIÑONES,pimiento-adobado-con-champinones,Entrantes,46,missing,,
30,CROQUETAS DE SALMÓN,croquetas-de-salmon,Entrantes,47,pdf,0030-croquetas-de-salmon.webp,/img/recetas/0030-croquetas-de-salmon.webp
31,ENSALADILLA DE PATATA CON SALMÓN Y AGUACATE,ensaladilla-de-patata-con-salmon-y-aguacate,Ensaladas,51,missing,,
32,ENSALADA DE CHAMPIÑONES Y CALABACÍN,ensalada-de-champinones-y-calabacin,Ensaladas,52,missing,,
33,ENSALADILLA DE JUDÍAS VERDES Y MOLLEJAS DE PATO,ensaladilla-de-judias-verdes-y-mollejas-de-pato,Ensaladas,53,pdf,0033-ensaladilla-de-judias-verdes-y-mollejas-de-pato.webp,/img/recetas/0033-ensaladilla-de-judias-verdes-y-mollejas-de-pato.webp
34,ENSALADA TEMPLADA DE LENTEJAS Y LANGOSTINOS,ensalada-templada-de-lentejas-y-langostinos,Ensaladas,55,missing,,
35,ENSALADA OTOÑAL,ensalada-otonal,Ensaladas,56,missing,,
36,ENSALADA DE ARROZ CON MAYONESA DE AGUACATE,ensalada-de-arroz-con-mayonesa-de-aguacate,Ensaladas,57,pdf,0036-ensalada-de-arroz-con-mayonesa-de-aguacate.webp,/img/recetas/0036-ensalada-de-arroz-con-mayonesa-de-aguacate.webp
37,ENSALADA DE ENDIBIAS Y TRUCHA AHUMADA GINÉS GUIRADO,ensalada-de-endibias-y-trucha-ahumada-gines-guirado,Ensaladas,59,pdf,0037-ensalada-de-endibias-y-trucha-ahumada-gines-guirado.webp,/img/recetas/0037-ensalada-de-endibias-y-trucha-ahumada-gines-guirado.webp
38,ENSALADA DE ENDIBIAS Y SALMÓN AHUMADO,ensalada-de-endibias-y-salmon-ahumado,Ensaladas,61,missing,,
39,"ENSALADA DE TOMATE, PIMIENTOS Y SALMÓN",ensalada-de-tomate-pimientos-y-salmon,Ensaladas,62,missing,,
40,ENSALADA DE REMOLACHA Y QUESO CON PESTO DE PISTACHOS,ensalada-de-remolacha-y-queso-con-pesto-de-pistachos,Ensaladas,63,missing,,
41,ENSALADA DE GARBANZOS Y FOIE,ensalada-de-garbanzos-y-foie,Ensaladas,65,missing,,
42,ENSALADA DE INVIERNO CON BONIATO Y QUESO FRESCO,ensalada-de-invierno-con-boniato-y-queso-fresco,Ensaladas,66,pdf,0042-ensalada-de-invierno-con-boniato-y-queso-fresco.webp,/img/recetas/0042-ensalada-de-invierno-con-boniato-y-queso-fresco.webp
43,COGOLLOS RELLENOS SOBRE TOMATE CONFITADO,cogollos-rellenos-sobre-tomate-confitado,Ensaladas,68,missing,,
44,"ENSALADA DE LECHUGA, GARBANZOS COCIDOS Y REMOLACHA",ensalada-de-lechuga-garbanzos-cocidos-y-remolacha,Ensaladas,69,missing,,
45,ENSALADA DE HABITAS CON ALIÑO DE MENTA,ensalada-de-habitas-con-alino-de-menta,Ensaladas,70,pdf,0045-ensalada-de-habitas-con-alino-de-menta.webp,/img/recetas/0045-ensalada-de-habitas-con-alino-de-menta.webp
46,ENSALADA DE OREJA DE CERDO,ensalada-de-oreja-de-cerdo,Ensaladas,72,pdf,0046-ensalada-de-oreja-de-cerdo.webp,/img/recetas/0046-ensalada-de-oreja-de-cerdo.webp
47,ENSALADA DE INVIERNO CON FRUTOS DE MAR,ensalada-de-invierno-con-frutos-de-mar,Ensaladas,74,missing,,
48,ENSALADA DE CHAMPIÑONES Y REMOLACHA,ensalada-de-champinones-y-remolacha,Ensaladas,76,missing,,
49,ENSALADA DE BACALAO AL PILPIL,ensalada-de-bacalao-al-pilpil,Ensaladas,76,missing,,
50,ENSALADA DE POCHAS Y BACALAO,ensalada-de-pochas-y-bacalao,Ensaladas,77,missing,,
51,"ENSALADA DE PASTA, VERDURAS Y GAMBAS",ensalada-de-pasta-verduras-y-gambas,Ensaladas,78,pdf,0051-ensalada-de-pasta-verduras-y-gambas.webp,/img/recetas/0051-ensalada-de-pasta-verduras-y-gambas.webp
52,"ENSALADILLA DE LANGOSTINOS, CALABACÍN Y PATATA",ensaladilla-de-langostinos-calabacin-y-patata,Ensaladas,80,missing,,
53,"COGOLLOS RELLENOS DE JAMÓN, REMOLACHA Y QUESO",cogollos-rellenos-de-jamon-remolacha-y-queso,Ensaladas,81,missing,,
54,"ENSALADA DE LENTEJAS, CALABACÍN Y FOIE",ensalada-de-lentejas-calabacin-y-foie,Ensaladas,82,pdf,0054-ensalada-de-lentejas-calabacin-y-foie.webp,/img/recetas/0054-ensalada-de-lentejas-calabacin-y-foie.webp
55,ENSALADA DE LENTEJAS NEGRAS,ensalada-de-lentejas-negras,Ensaladas,84,missing,,
56,ENSALADA DE MOLLEJAS DE PATO,ensalada-de-mollejas-de-pato,Ensaladas,85,missing,,
57,"ENSALADA DE ARROZ, POLLO Y MANGO",ensalada-de-arroz-pollo-y-mango,Ensaladas,87,pdf,0057-ensalada-de-arroz-pollo-y-mango.webp,/img/recetas/0057-ensalada-de-arroz-pollo-y-mango.webp
58,ENSALADILLA DE ESPÁRRAGOS Y PAVO,ensaladilla-de-esparragos-y-pavo,Ensaladas,89,pdf,0058-ensaladilla-de-esparragos-y-pavo.webp,/img/recetas/0058-ensaladilla-de-esparragos-y-pavo.webp
59,ENSALADA DE TOMATE Y JUDÍAS VERDES,ensalada-de-tomate-y-judias-verdes,Ensaladas,91,missing,,
60,"ENSALADA DE SALMÓN, HABAS Y RABANITOS",ensalada-de-salmon-habas-y-rabanitos,Ensaladas,92,missing,,
61,ENSALADA DE MANZANA Y TOMATE,ensalada-de-manzana-y-tomate,Ensaladas,93,missing,,
62,ENSALADA DE REMOLACHA,ensalada-de-remolacha,Ensaladas,94,missing,,
63,ENSALADA DE CINTAS DE POLLO,ensalada-de-cintas-de-pollo,Ensaladas,95,pdf,0063-ensalada-de-cintas-de-pollo.webp,/img/recetas/0063-ensalada-de-cintas-de-pollo.webp
64,ENSALADA DE GARBANZOS Y JUDÍAS VERDES,ensalada-de-garbanzos-y-judias-verdes,Ensaladas,97,missing,,
65,"ENSALADA DE CANÓNIGOS, LOMBARDA Y PIÑA",ensalada-de-canonigos-lombarda-y-pina,Ensaladas,101,pdf,0065-ensalada-de-canonigos-lombarda-y-pina.webp,/img/recetas/0065-ensalada-de-canonigos-lombarda-y-pina.webp
66,ENSALADA DE PATATA Y CEBOLLETA,ensalada-de-patata-y-cebolleta,Ensaladas,101,missing,,
67,ENSALADA DE COGOLLOS,ensalada-de-cogollos,Ensaladas,102,missing,,
68,"ENSALADA DE BERROS, PEPINO Y ZANAHORIA",ensalada-de-berros-pepino-y-zanahoria,Ensaladas,102,missing,,
69,ENSALADILLA DE LENTEJAS CON HOJALDRES DE TXISTORRA,ensaladilla-de-lentejas-con-hojaldres-de-txistorra,Ensaladas,103,pdf,0069-ensaladilla-de-lentejas-con-hojaldres-de-txistorra.webp,/img/recetas/0069-ensaladilla-de-lentejas-con-hojaldres-de-txistorra.webp
70,ENSALADA DE GARBANZOS,ensalada-de-garbanzos,Ensaladas,105,missing,,
71,"ENSALADA DE RÚCULA, QUESO Y PERA",ensalada-de-rucula-queso-y-pera,Ensaladas,106,missing,,
72,ENSALADA CON QUESO Y MEMBRILLO,ensalada-con-queso-y-membrillo,Ensaladas,107,pdf,0072-ensalada-con-queso-y-membrillo.webp,/img/recetas/0072-ensalada-con-queso-y-membrillo.webp
73,ENSALADA DE AGUACATE Y REMOLACHA,ensalada-de-aguacate-y-remolacha,Ensaladas,108,missing,,
74,ENSALADA DE CANÓNIGOS Y RABANITOS,ensalada-de-canonigos-y-rabanitos,Ensaladas,109,missing,,
