id,title,slug,category,source_page,expected_filename,search_query_suggestion
1,TOSTAS DE CALABACÍN Y PAVO AL PESTO,tostas-de-calabacin-y-pavo-al-pesto,Entrantes,10,0001-tostas-de-calabacin-y-pavo-al-pesto.webp,TOSTAS DE CALABACÍN Y PAVO AL PESTO receta foto
2,TOSTAS DE QUESO FRESCO Y TAPENADE,tostas-de-queso-fresco-y-tapenade,Entrantes,11,0002-tostas-de-queso-fresco-y-tapenade.webp,TOSTAS DE QUESO FRESCO Y TAPENADE receta foto
4,BLOODY MARY CON BERBERECHOS,bloody-mary-con-berberechos,Entrantes,14,0004-bloody-mary-con-berberechos.webp,BLOODY MARY CON BERBERECHOS receta foto
5,"HUMMUS CON ZANAHORIA, PEPINO Y APIO",hummus-con-zanahoria-pepino-y-apio,Entrantes,15,0005-hummus-con-zanahoria-pepino-y-apio.webp,"HUMMUS CON ZANAHORIA, PEPINO Y APIO receta foto"
7,BAGUETTES RELLENAS DE ENSALADILLA,baguettes-rellenas-de-ensaladilla,Entrantes,17,0007-baguettes-rellenas-de-ensaladilla.webp,BAGUETTES RELLENAS DE ENSALADILLA receta foto
8,BROCHETAS DE ANCHOAS Y GUINDILLAS,brochetas-de-anchoas-y-guindillas,Entrantes,19,0008-brochetas-de-anchoas-y-guindillas.webp,BROCHETAS DE ANCHOAS Y GUINDILLAS receta foto
10,SAQUITOS DE VERDURAS CON SALSA DE LECHE,saquitos-de-verduras-con-salsa-de-leche,Entrantes,23,0010-saquitos-de-verduras-con-salsa-de-leche.webp,SAQUITOS DE VERDURAS CON SALSA DE LECHE receta foto
11,PUERROS CON SALSA ROMESCO,puerros-con-salsa-romesco,Entrantes,23,0011-puerros-con-salsa-romesco.webp,PUERROS CON SALSA ROMESCO receta foto
13,PUERROS EN VINAGRETA,puerros-en-vinagreta,Entrantes,26,0013-puerros-en-vinagreta.webp,PUERROS EN VINAGRETA receta foto
14,SETAS GRATINADAS,setas-gratinadas,Entrantes,27,0014-setas-gratinadas.webp,SETAS GRATINADAS receta foto
16,ALBÓNDIGAS DE PATATA,albondigas-de-patata,Entrantes,29,0016-albondigas-de-patata.webp,ALBÓNDIGAS DE PATATA receta foto
17,CHAMPIÑONES A LA PLANCHA CON GAMBAS,champinones-a-la-plancha-con-gambas,Entrantes,30,0017-champinones-a-la-plancha-con-gambas.webp,CHAMPIÑONES A LA PLANCHA CON GAMBAS receta foto
19,AGUACATES RELLENOS DE SALMÓN,aguacates-rellenos-de-salmon,Entrantes,33,0019-aguacates-rellenos-de-salmon.webp,AGUACATES RELLENOS DE SALMÓN receta foto
20,APIO CON QUESO,apio-con-queso,Entrantes,34,0020-apio-con-queso.webp,APIO CON QUESO receta foto
22,MEJILLONES EN SALSA DE TOMATE PICANTE,mejillones-en-salsa-de-tomate-picante,Entrantes,37,0022-mejillones-en-salsa-de-tomate-picante.webp,MEJILLONES EN SALSA DE TOMATE PICANTE receta foto
23,FRITOS VARIADOS,fritos-variados,Entrantes,38,0023-fritos-variados.webp,FRITOS VARIADOS receta foto
25,CESTAS DE PRIMAVERA,cestas-de-primavera,Entrantes,41,0025-cestas-de-primavera.webp,CESTAS DE PRIMAVERA receta foto
26,CROQUETAS DE JAMÓN Y POLLO,croquetas-de-jamon-y-pollo,Entrantes,42,0026-croquetas-de-jamon-y-pollo.webp,CROQUETAS DE JAMÓN Y POLLO receta foto
28,CHAMPIÑONES EN SALSA DE VINO,champinones-en-salsa-de-vino,Entrantes,45,0028-champinones-en-salsa-de-vino.webp,CHAMPIÑONES EN SALSA DE VINO receta foto
29,PIMIENTO ADOBADO CON CHAMPIÑONES,pimiento-adobado-con-champinones,Entrantes,46,0029-pimiento-adobado-con-champinones.webp,PIMIENTO ADOBADO CON CHAMPIÑONES receta foto
31,ENSALADILLA DE PATATA CON SALMÓN Y AGUACATE,ensaladilla-de-patata-con-salmon-y-aguacate,Ensaladas,51,0031-ensaladilla-de-patata-con-salmon-y-aguacate.webp,ENSALADILLA DE PATATA CON SALMÓN Y AGUACATE receta foto
32,ENSALADA DE CHAMPIÑONES Y CALABACÍN,ensalada-de-champinones-y-calabacin,Ensaladas,52,0032-ensalada-de-champinones-y-calabacin.webp,ENSALADA DE CHAMPIÑONES Y CALABACÍN receta foto
34,ENSALADA TEMPLADA DE LENTEJAS Y LANGOSTINOS,ensalada-templada-de-lentejas-y-langostinos,Ensaladas,55,0034-ensalada-templada-de-lentejas-y-langostinos.webp,ENSALADA TEMPLADA DE LENTEJAS Y LANGOSTINOS receta foto
35,ENSALADA OTOÑAL,ensalada-otonal,Ensaladas,56,0035-ensalada-otonal.webp,ENSALADA OTOÑAL receta foto
38,ENSALADA DE ENDIBIAS Y SALMÓN AHUMADO,ensalada-de-endibias-y-salmon-ahumado,Ensaladas,61,0038-ensalada-de-endibias-y-salmon-ahumado.webp,ENSALADA DE ENDIBIAS Y SALMÓN AHUMADO receta foto
39,"ENSALADA DE TOMATE, PIMIENTOS Y SALMÓN",ensalada-de-tomate-pimientos-y-salmon,Ensaladas,62,0039-ensalada-de-tomate-pimientos-y-salmon.webp,"ENSALADA DE TOMATE, PIMIENTOS Y SALMÓN receta foto"
40,ENSALADA DE REMOLACHA Y QUESO CON PESTO DE PISTACHOS,ensalada-de-remolacha-y-queso-con-pesto-de-pistachos,Ensaladas,63,0040-ensalada-de-remolacha-y-queso-con-pesto-de-pistachos.webp,ENSALADA DE REMOLACHA Y QUESO CON PESTO DE PISTACHOS receta foto
41,ENSALADA DE GARBANZOS Y FOIE,ensalada-de-garbanzos-y-foie,Ensaladas,65,0041-ensalada-de-garbanzos-y-foie.webp,ENSALADA DE GARBANZOS Y FOIE receta foto
43,COGOLLOS RELLENOS SOBRE TOMATE CONFITADO,cogollos-rellenos-sobre-tomate-confitado,Ensaladas,68,0043-cogollos-rellenos-sobre-tomate-confitado.webp,COGOLLOS RELLENOS SOBRE TOMATE CONFITADO receta foto
44,"ENSALADA DE LECHUGA, GARBANZOS COCIDOS Y REMOLACHA",ensalada-de-lechuga-garbanzos-cocidos-y-remolacha,Ensaladas,69,0044-ensalada-de-lechuga-garbanzos-cocidos-y-remolacha.webp,"ENSALADA DE LECHUGA, GARBANZOS COCIDOS Y REMOLACHA receta foto"
47,ENSALADA DE INVIERNO CON FRUTOS DE MAR,ensalada-de-invierno-con-frutos-de-mar,Ensaladas,74,0047-ensalada-de-invierno-con-frutos-de-mar.webp,ENSALADA DE INVIERNO CON FRUTOS DE MAR receta foto
48,ENSALADA DE CHAMPIÑONES Y REMOLACHA,ensalada-de-champinones-y-remolacha,Ensaladas,76,0048-ensalada-de-champinones-y-remolacha.webp,ENSALADA DE CHAMPIÑONES Y REMOLACHA receta foto
49,ENSALADA DE BACALAO AL PILPIL,ensalada-de-bacalao-al-pilpil,Ensaladas,76,0049-ensalada-de-bacalao-al-pilpil.webp,ENSALADA DE BACALAO AL PILPIL receta foto
50,ENSALADA DE POCHAS Y BACALAO,ensalada-de-pochas-y-bacalao,Ensaladas,77,0050-ensalada-de-pochas-y-bacalao.webp,ENSALADA DE POCHAS Y BACALAO receta foto
52,"ENSALADILLA DE LANGOSTINOS, CALABACÍN Y PATATA",ensaladilla-de-langostinos-calabacin-y-patata,Ensaladas,80,0052-ensaladilla-de-langostinos-calabacin-y-patata.webp,"ENSALADILLA DE LANGOSTINOS, CALABACÍN Y PATATA receta foto"
53,"COGOLLOS RELLENOS DE JAMÓN, REMOLACHA Y QUESO",cogollos-rellenos-de-jamon-remolacha-y-queso,Ensaladas,81,0053-cogollos-rellenos-de-jamon-remolacha-y-queso.webp,"COGOLLOS RELLENOS DE JAMÓN, REMOLACHA Y QUESO receta foto"
55,ENSALADA DE LENTEJAS NEGRAS,ensalada-de-lentejas-negras,Ensaladas,84,0055-ensalada-de-lentejas-negras.webp,ENSALADA DE LENTEJAS NEGRAS receta foto
56,ENSALADA DE MOLLEJAS DE PATO,ensalada-de-mollejas-de-pato,Ensaladas,85,0056-ensalada-de-mollejas-de-pato.webp,ENSALADA DE MOLLEJAS DE PATO receta foto
59,ENSALADA DE TOMATE Y JUDÍAS VERDES,ensalada-de-tomate-y-judias-verdes,Ensaladas,91,0059-ensalada-de-tomate-y-judias-verdes.webp,ENSALADA DE TOMATE Y JUDÍAS VERDES receta foto
60,"ENSALADA DE SALMÓN, HABAS Y RABANITOS",ensalada-de-salmon-habas-y-rabanitos,Ensaladas,92,0060-ensalada-de-salmon-habas-y-rabanitos.webp,"ENSALADA DE SALMÓN, HABAS Y RABANITOS receta foto"
61,ENSALADA DE MANZANA Y TOMATE,ensalada-de-manzana-y-tomate,Ensaladas,93,0061-ensalada-de-manzana-y-tomate.webp,ENSALADA DE MANZANA Y TOMATE receta foto
62,ENSALADA DE REMOLACHA,ensalada-de-remolacha,Ensaladas,94,0062-ensalada-de-remolacha.webp,ENSALADA DE REMOLACHA receta foto
64,ENSALADA DE GARBANZOS Y JUDÍAS VERDES,ensalada-de-garbanzos-y-judias-verdes,Ensaladas,97,0064-ensalada-de-garbanzos-y-judias-verdes.webp,ENSALADA DE GARBANZOS Y JUDÍAS VERDES receta foto
66,ENSALADA DE PATATA Y CEBOLLETA,ensalada-de-patata-y-cebolleta,Ensaladas,101,0066-ensalada-de-patata-y-cebolleta.webp,ENSALADA DE PATATA Y CEBOLLETA receta foto
67,ENSALADA DE COGOLLOS,ensalada-de-cogollos,Ensaladas,102,0067-ensalada-de-cogollos.webp,ENSALADA DE COGOLLOS receta foto
68,"ENSALADA DE BERROS, PEPINO Y ZANAHORIA",ensalada-de-berros-pepino-y-zanahoria,Ensaladas,102,0068-ensalada-de-berros-pepino-y-zanahoria.webp,"ENSALADA DE BERROS, PEPINO Y ZANAHORIA receta foto"
70,ENSALADA DE GARBANZOS,ensalada-de-garbanzos,Ensaladas,105,0070-ensalada-de-garbanzos.webp,ENSALADA DE GARBANZOS receta foto
71,"ENSALADA DE RÚCULA, QUESO Y PERA",ensalada-de-rucula-queso-y-pera,Ensaladas,106,0071-ensalada-de-rucula-queso-y-pera.webp,"ENSALADA DE RÚCULA, QUESO Y PERA receta foto"
73,ENSALADA DE AGUACATE Y REMOLACHA,ensalada-de-aguacate-y-remolacha,Ensaladas,108,0073-ensalada-de-aguacate-y-remolacha.webp,ENSALADA DE AGUACATE Y REMOLACHA receta foto
